image_id,coin_id,source_type,source_url,license,capture_setup,defect_classes,split,annotation_status
self_C001_02,C001,self_captured,,,unknown,dent,val,annotated
self_C001_04,C001,self_captured,,,unknown,dent,val,annotated
self_C001_05,C001,self_captured,,,unknown,,val,annotated
self_C005_02,C005,self_captured,,,unknown,dent,train,annotated
self_C005_05,C005,self_captured,,,unknown,dent,train,annotated
self_C005_09,C005,self_captured,,,unknown,dent,train,annotated
self_C006_01,C006,self_captured,,,phone_desk_lamp,,test,annotated
self_C006_02,C006,self_captured,,,phone_desk_lamp,,test,annotated
self_C006_03,C006,self_captured,,,phone_desk_lamp,,test,annotated
self_C007_01,C007,self_captured,,,phone_desk_lamp,,train,annotated
self_C007_02,C007,self_captured,,,phone_desk_lamp,,train,annotated
self_C007_03,C007,self_captured,,,phone_desk_lamp,,train,annotated
self_C009_01,C009,self_captured,,,unknown,dent,test,annotated
self_C011_01,C011,self_captured,,,phone_desk_lamp,dent,train,annotated
self_C011_02,C011,self_captured,,,phone_desk_lamp,dent,train,annotated
self_C012_01,C012,self_captured,,,phone_desk_lamp,dent,train,annotated
self_C012_02,C012,self_captured,,,phone_desk_lamp,dent,train,annotated
self_C013_01,C013,self_captured,,,phone_desk_lamp,dent,train,annotated
self_C014_01,C014,self_captured,,,phone_desk_lamp,dent,train,annotated
self_C015_01,C015,self_captured,,,phone_desk_lamp,dent,train,annotated
self_C016_01,C016,self_captured,,,phone_desk_lamp,dent,val,annotated
self_C017_01,C017,self_captured,,,phone_desk_lamp,,train,annotated
self_C017_02,C017,self_captured,,,phone_desk_lamp,,train,annotated
self_C018_01,C018,self_captured,,,phone_desk_lamp,,test,annotated
self_C018_02,C018,self_captured,,,phone_desk_lamp,,test,annotated
